Open,High,Low,Close,Volume,Dividends,Stock Splits
119.62833759698313,121.02130126953124,119.44960091308558,121.02130126953125,4428869,0.0,0.0
120.60219593452328,120.98434169580544,119.84408233344601,120.35565948486328,3812356,0.0,0.0
119.69001510424243,119.85642550959696,118.82095456807369,119.56674194335938,3535689,0.0,0.0
119.20314468675117,119.4373647825555,118.54980942602398,119.04289245605469,2993966,0.0,0.0
118.9071711348535,119.14139099080599,118.0935844765798,118.87635040283203,3166137,0.0,0.0
119.25241178947417,119.25857987519665,118.12448828612875,118.53744506835938,3359752,0.0,0.0
118.74079539942068,118.93185841621677,117.89638776324985,118.88255310058594,3774073,0.0,0.0
119.66534544779941,120.18923909161467,118.89489567977155,119.85025024414062,4058898,0.0,0.0
118.84557842885764,119.12910367893551,118.18607553981072,118.72230529785156,4364121,0.0,0.0
117.91490558205227,118.79013420597528,117.34786478007015,118.64837646484375,4364017,0.0,0.0
118.34018538306289,119.0674782629858,117.93955503131788,118.70382690429688,3099193,0.0,0.0
119.48042577631317,119.85640343716665,119.10444811545968,119.35716247558594,4060154,0.0,0.0
119.59138800362308,120.18924952032346,119.4496302707825,119.86258697509766,4769342,0.0,0.0
119.79480118379838,120.85493469238281,119.57907559840659,120.85493469238281,7502226,0.0,0.0
125.42827597029846,128.55936098701787,125.34198181050726,126.18022155761719,13106903,0.0,0.0
125.68092606608745,126.38973410381716,125.16934908854266,125.9952621459961,4651771,0.0,0.0
126.013815755941,126.46375147531114,125.81658460309643,126.33432006835938,3513409,0.0,0.0
126.26033907467803,127.10474684916157,125.91518213381953,126.30965423583984,2953590,0.0,0.0
125.94598835272775,126.80272235931876,125.51453730769258,125.67478942871094,3783487,0.0,0.0
125.5453686331367,126.278829569052,125.23719069462683,125.44058990478516,3136326,0.0,0.0
125.31734771021686,126.02615616009116,125.09546386817341,125.16325378417969,3233604,0.0,0.0
126.13706735443972,126.5685085830164,125.63781655410531,126.46372985839844,3525752,0.0,0.0
125.85352561485266,126.3651026783344,125.47137991925796,125.60697937011719,3335485,0.0,0.0
125.92752189618083,126.19872088040496,124.81808313225727,124.99066162109375,3804197,0.0,0.0
124.03125760049359,124.58831666770972,123.51752721562349,124.42119598388672,3790913,0.81262,0.0
124.173607725004,124.3531066149365,122.97285202475551,123.62893676757812,3218228,0.0,0.0
123.77130285978741,125.08348234850861,123.59181383172402,124.82970428466797,3026392,0.0,0.0
124.39642176475405,124.99679954957305,123.63510748583417,123.88888549804688,3080156,0.0,0.0
123.79605634257146,124.24789568267737,123.18330023717225,123.81462860107422,2575043,0.0,0.0
124.19220607546805,124.3778891709019,123.52374298036128,123.84559631347656,2269611,0.0,0.0
123.62274740733149,123.98792936752488,123.33184459983771,123.57323455810547,3445733,0.0,0.0
123.77749606632223,124.5635570419483,123.67846048405941,124.39644622802734,3794679,0.0,0.0
124.16124279036215,124.95969187298734,123.9260468614408,123.9879379272461,3136222,0.0,0.0
124.1736256749672,124.85447681874548,123.08427372378357,123.36280822753906,3886308,0.0,0.0
122.94196213962208,123.21430269197032,122.62010871552509,122.75627899169922,4103353,0.0,0.0
123.31329323318295,124.46454620361327,123.07190323401989,124.46454620361328,3250863,0.0,0.0
124.82351398532938,125.33105033035437,122.24868774414064,122.24868774414062,4021661,0.0,0.0
122.94192209581529,123.72799301255083,122.45294807053398,123.2575912475586,3547614,0.0,0.0
123.10284180037274,125.49198513206815,122.92334289059245,125.2320327758789,4377615,0.0,0.0
125.1391549074621,125.72097032061339,124.27882481661362,124.30358123779297,4904903,0.0,0.0
124.19219924185573,125.60958868735698,123.3937501207897,125.59102630615234,3460482,0.0,0.0
125.39299138522371,127.00225830078125,125.36822507363806,127.00225830078125,3863296,0.0,0.0
127.41693962057985,128.55580455604544,127.31171985333192,127.83163452148438,3982959,0.0,0.0
128.14105529962828,129.04472388720083,127.91204360028847,128.9766387939453,3760161,0.0,0.0
128.9210086392116,129.7318361965283,128.89005815689535,129.62042236328125,4063082,0.0,0.0
129.88652175900094,130.4373867986422,129.62655953529733,130.21456909179688,3870723,0.0,0.0
130.00417422835073,130.1032098500628,129.3852238200967,130.0289306640625,3189986,0.0,0.0
129.60801716690438,130.43121289115368,129.41614002266775,130.31980895996094,3756814,0.0,0.0
130.10319700859552,131.44012343599306,129.8370505326658,131.2544403076172,3510271,0.0,0.0
131.31010780131209,133.60640954109792,131.31010780131209,133.56927490234375,5758753,0.0,0.0
133.30934641244355,133.63119978749273,132.09001803995815,133.02462768554688,8295094,0.0,0.0
131.77431929261385,132.76463555361408,131.6133827743692,131.9661865234375,3144276,0.0,0.0
132.53570058991195,133.14845703214132,131.11211643541435,132.10862731933594,3345736,0.0,0.0
132.92559923281212,133.58168418551483,132.6408805117508,133.1112823486328,3157874,0.0,0.0
131.81144085390505,131.83619727614513,130.04743216241457,131.378173828125,6098598,0.0,0.0
131.34729379919648,131.9414877670481,130.98212155703322,131.26683044433594,3170949,0.0,0.0
131.55150153500256,131.71862223246907,130.01032013343283,130.43739318847656,3391655,0.0,0.0
131.07495229972747,131.52678190773088,130.907831555503,131.44012451171875,2406114,0.0,0.0
130.57355634467052,131.3162984950996,130.0412635661985,130.5302276611328,3371676,0.0,0.0
129.8741130863112,132.10852319192387,129.8184062029499,132.02186584472656,3922395,0.0,0.0
131.7124616922178,132.14572890354543,130.75309558583675,131.45249938964844,2243147,0.0,0.0
131.78668267378404,132.89459676683632,130.95109910059955,132.67796325683594,3260173,0.0,0.0
132.65322915352397,133.00603292224642,131.60720593925532,131.6257781982422,3272725,0.0,0.0
